-1.33	99.99
-2.66	199.88	
-3.98	299.68	
-5.31	399.38	
-6.64	498.97	
-7.97	598.48	
-9.29	697.88	
-10.62	797.18	
-11.95	896.39	
-13.28	995.50	
-14.60	1094.51	
-15.93	1193.42	
-17.26	1292.23	
-18.59	1390.95	
-19.92	1489.57	
-21.24	1588.09	
-22.57	1686.51	
-23.90	1784.83	
-25.23	1883.06	
-26.55	1981.18	
-27.88	2079.21	
-29.21	2177.15	
-30.54	2274.98	
-31.86	2372.71	
-33.19	2470.35	
-34.52	2567.89	
-35.85	2665.33	
-37.17	2762.67	
-38.50	2859.92	
-39.83	2957.06	
-41.16	3054.11	
-42.49	3151.06	
-43.81	3247.91	
-45.14	3344.67	
-46.47	3441.32	
-47.80	3537.88	
-49.12	3634.34	
-50.45	3730.70	
-51.78	3826.96	
-53.11	3923.13	
-54.43	4019.20	
-55.76	4115.17	
-57.09	4211.04	
-58.42	4306.81	
-59.75	4402.48	
-61.07	4498.06	
-62.40	4593.54	
-63.73	4688.92	
-65.06	4784.20	
-66.38	4879.39	
-67.71	4974.47	
-69.04	5069.46	
-70.37	5164.35	
-71.69	5259.14	
-73.02	5353.84	
-74.35	5448.43	
-75.68	5542.93	
-77.01	5637.33	
-78.33	5731.63	
-79.66	5825.83	
-80.99	5919.94	
-82.32	6013.95	
-83.64	6107.86	
-84.97	6201.67	
-86.30	6295.38	
-87.63	6388.99	
-88.95	6482.51	
-90.28	6575.93	
-91.61	6669.25	
-92.94	6762.47	
-94.26	6855.60	
-95.59	6948.62	
-96.92	7041.55	
-98.25	7134.38	
-99.58	7227.11	
-100.90	7319.75	
-102.23	7412.28	
-103.56	7504.72	
-104.89	7597.06	
-106.21	7689.30	
-107.54	7781.44	
-108.87	7873.49	
-110.20	7965.43	
-111.52	8057.28	
-112.85	8149.03	
-114.18	8240.69	
-115.51	8332.24	
-116.84	8423.70	
-118.16	8515.06	
-119.49	8606.32	
-120.82	8697.48	
-122.15	8788.54	
-123.47	8879.51	
-124.80	8970.38	
-126.13	9061.15	
-127.46	9151.82	
-128.78	9242.39	
-130.11	9332.87	
-131.44	9423.25	
-132.77	9513.52	
-134.10	9603.71	
-135.42	9693.79	
